Total_vuelos,retrasos,tasa_retraso
49,30,0.6122448979591837
195,113,0.5794871794871795
565,258,0.45663716814159294
1674,681,0.4068100358422939
806,287,0.3560794044665012
1152,306,0.265625
1949,468,0.24012314007183172
74,15,0.20270270270270271
1095,196,0.17899543378995433
40892,7306,0.17866575369265383
14298,2540,0.1776472233878864
279,43,0.15412186379928317
205,29,0.14146341463414633
92,11,0.11956521739130435
259,29,0.11196911196911197
362,36,0.09944751381215469
358,30,0.08379888268156424
251,21,0.08366533864541832
757,51,0.06737120211360634
1850,116,0.0627027027027027
358,21,0.05865921787709497
335,17,0.050746268656716415
351,10,0.02849002849002849
2,2,1.0
1,1,1.0
1,1,1.0
6,4,0.6666666666666666
194,113,0.5824742268041238
39,21,0.5384615384615384
2,1,0.5
136,54,0.39705882352941174
361,135,0.3739612188365651
54,18,0.3333333333333333
283,89,0.31448763250883394
1023,308,0.3010752688172043
232,66,0.28448275862068967
1435,405,0.28222996515679444
1625,443,0.2726153846153846
34,9,0.2647058823529412
38,10,0.2631578947368421
1604,415,0.2587281795511222
6335,1620,0.2557221783741121
155,39,0.25161290322580643
120,30,0.25
3569,881,0.24684785654244887
5270,1214,0.2303605313092979
35,8,0.22857142857142856
382,82,0.21465968586387435
1066,220,0.20637898686679174
452,89,0.19690265486725664
422,82,0.1943127962085308
259,50,0.19305019305019305
1016,194,0.19094488188976377
63,12,0.19047619047619047
894,170,0.19015659955257272
162,30,0.18518518518518517
3747,640,0.17080330931411797
4357,734,0.16846453982097773
6,1,0.16666666666666666
2410,390,0.16182572614107885
3993,623,0.15602304032056097
2589,403,0.1556585554268057
753,117,0.1553784860557769
2105,324,0.15391923990498813
209,32,0.15311004784688995
839,123,0.1466030989272944
5786,847,0.14638783269961977
205,29,0.14146341463414633
1780,242,0.13595505617977527
2436,330,0.1354679802955665
5146,629,0.12223085891954917
259,29,0.11196911196911197
37,4,0.10810810810810811
700,66,0.09428571428571429
79,7,0.08860759493670886
359,31,0.08635097493036212
235,18,0.07659574468085106
357,25,0.0700280112044818
1850,116,0.0627027027027027
358,21,0.05865921787709497
334,17,0.05089820359281437
3,0,0.0
2,0,0.0
1,0,0.0
1,0,0.0
10292,2285,0.22201710066070734
10131,2048,0.20215181127233245
10251,2045,0.19949273241634963
9722,1661,0.17084961941987245
9662,1634,0.16911612502587456
8352,1363,0.16319444444444445
9796,1578,0.1610861576153532
5992,1758,0.29339118825100136
6356,1615,0.25409062303335433
6032,1363,0.22596153846153846
6080,1199,0.19720394736842106
5744,996,0.1733983286908078
5610,967,0.17237076648841354
4981,852,0.17104998996185505
6108,978,0.16011787819253437
5240,827,0.15782442748091602
5561,843,0.15159144038841935
5020,585,0.11653386454183266
5482,631,0.11510397665085735
22379,4275,0.19102730238169713
45827,8339,0.18196696270757415
31240,7048,0.22560819462227913
36966,5566,0.15057079478439647
